;M;d_40;d_41;d_42;d_43;d_44
0;10;96.87171585887148;85.31985487705171;71.00804405175217;49.83350105409281;31.67034001013445
1;16;142.05209963419946;126.89480184783751;102.83282882130295;69.35837037360865;40.82154982994663
2;25;195.8291624610532;175.33828744589798;134.5978048568633;88.56016670171184;52.1242614943941
3;40;254.6630545252427;220.16264051162656;160.14942316933596;102.86245724094377;60.50854052230414
4;63;299.1891291565834;249.0079299291624;171.10125699668825;110.36529937905017;63.9523065399125
5;100;329.42468215135204;262.8000171239784;172.41907453544232;109.79219156902789;63.77756995020343
6;158;343.1286837890537;253.65754527783;163.02123523029616;107.07274206349507;60.84799393825906
7;251;339.7122850747638;237.85364765653762;155.3141058360228;102.0147865164708;56.04921282636413
8;398;326.4071317348363;216.31695034416734;146.42899765464705;94.7837140575959;51.6204238970533
9;631;303.1471014455453;195.28367696301697;135.7660759076137;84.91461408583697;45.666510281405934
10;1000;267.92662133924364;176.338555654053;122.26332027455531;73.1100424052054;39.34776960802516
